timestamp,episode,blue_steps,blue_epsilon,qtable_states,blue_return,blue_len,blue_food,blue_dead,blue_best_score,blue_total_food,blue_total_deaths,last_td_error
1778651933,1,1581,0.21779668614429443,1318,1419.1899999999955,1581,4,0,4,4,0,-2.163073
1778651946,2,1707,0.20971643823232314,1478,476.55999999999983,126,3,0,4,7,0,-3.746
1778651973,3,1983,0.19304897276867589,1693,385.61999999999927,276,3,0,4,10,0,6.273999999999999
1778651998,4,2231,0.17920541888549588,1944,546.9099999999999,248,3,0,4,13,0,2.6139999999999994
1778652040,5,2663,0.15741935501960136,2219,-359.32000000000085,432,6,1,6,19,1,-116.72
1778652067,6,2939,0.14490826296971548,2378,-32.00999999999928,276,3,0,6,22,1,4.1949000000000005
1778652084,7,3125,0.13704269249742593,2474,-224.40999999999974,186,4,0,6,26,1,-0.6859999999999997
1778652136,8,3654,0.11692920797007239,2773,-442.2500000000009,529,7,0,7,33,1,6.353999999999999
1778652149,9,3784,0.11245609068348184,2842,-602.2299999999997,130,3,0,7,36,1,4.557717
1778652191,10,4209,0.098992462571437,3082,-1248.4400000000037,425,6,1,7,42,2,-122.32000000000001
1778652207,11,4369,0.0943523812673527,3201,-219.59999999999988,160,4,1,7,46,3,-122.48
1778652229,12,4596,0.08813998534200747,3365,-349.30000000000007,227,2,0,7,48,3,-1.479693
1778652260,13,4920,0.07997481000826277,3556,-1464.319999999999,324,4,0,7,52,3,6.315968795910302
1778652294,14,5259,0.07224018370895574,3743,-1121.8700000000006,339,5,1,7,57,4,-122.4
1778652325,15,5571,0.065784379026447,3927,-744.3600000000004,312,5,1,7,62,5,-116.8
1778652346,16,5787,0.06165613187697579,4030,-441.1099999999992,216,5,1,7,67,6,-116.8
1778652374,17,6079,0.056484120455271625,4168,-1554.8099999999977,292,1,1,7,68,7,-122.72000000000001
1778652426,18,6589,0.04846958996065951,4533,1793.4299999999985,510,10,0,10,78,7,-1.5659999999999998
1778652437,19,6701,0.04686783171396181,4583,689.5400000000003,112,5,1,10,83,8,-121.2
1778652446,20,6797,0.04553709316807281,4628,-90.1400000000001,96,1,0,10,84,8,-0.5760000000000004
1778652452,21,6853,0.04477834749723384,4650,-324.8499999999999,56,0,0,10,84,8,15.984779335041143
1778652477,22,7106,0.04150497586934478,4760,-976.3300000000014,253,2,0,10,86,8,3.2399000000000004
1778652497,23,7304,0.03911102547629419,4873,495.3199999999995,198,5,1,10,91,9,-115.84
1778652527,24,7612,0.03565860691672392,4986,71.28000000000037,308,10,0,10,101,9,4.893999999999999
1778652547,25,7819,0.03351125086276586,5088,-460.4899999999992,207,2,0,10,103,9,2.926101320958045
1778652571,26,8062,0.031154861233235284,5214,-371.4200000000001,243,6,0,10,109,9,4.450608402248303
1778652587,27,8226,0.029658919616310016,5317,-653.2600000000002,164,2,1,10,111,10,-117.03999999999999
1778652620,28,8557,0.02685489228738886,5510,759.4900000000011,331,6,1,10,117,11,-116.0
1778652655,29,8906,0.024184992697020433,5673,981.0699999999998,349,11,1,11,128,12,-115.11999999999999
1778652685,30,9210,0.022076608776122466,5773,88.79999999999977,304,8,0,11,136,12,-1.4122135499999997
1778652700,31,9363,0.021086051071261575,5839,-468.1300000000007,153,3,0,11,139,12,6.841121379534188
1778652721,32,9572,0.02,5977,538.43,209,5,1,11,144,13,-121.44000000000001
1778652744,33,9806,0.02,6090,-117.01000000000018,234,4,0,11,148,13,-1.0341
1778652783,34,10193,0.02,6275,1194.5099999999998,387,10,1,11,158,14,-120.56
1778652795,35,10317,0.02,6326,-653.4600000000004,124,3,1,11,161,15,-122.56
1778652807,36,10446,0.02,6386,-878.0600000000001,129,2,0,11,163,15,5.954
1778652828,37,10659,0.02,6466,-682.63,213,5,1,11,168,16,-116.8
1778652849,38,10869,0.02,6522,-787.1099999999991,210,5,0,11,173,16,3.4450970568504706
1778652859,39,10973,0.02,6582,-189.20000000000002,104,1,1,11,174,17,-122.72000000000001
1778652881,40,11191,0.02,6705,408.32000000000016,218,8,1,11,182,18,-115.60000000000001
1778652887,41,11255,0.02,6736,-135.12,64,4,1,11,186,19,-122.24000000000001
1778652909,42,11481,0.02,6848,-1118.9599999999998,226,5,0,11,191,19,0.37087925889539325
1778652913,43,11520,0.02,6858,-404.39000000000004,39,1,0,11,192,19,-2.5568780747749997
1778652941,44,11802,0.02,7033,798.0400000000011,282,8,1,11,200,20,-120.72000000000001
1778652946,45,11859,0.02,7064,-326.44000000000005,57,1,1,11,201,21,-117.12
1778652976,46,12160,0.02,7149,-548.9899999999985,301,8,0,11,209,21,3.332048558794387
1778652986,47,12258,0.02,7179,356.6199999999997,98,3,0,11,212,21,-3.986
1778653016,48,12564,0.02,7313,432.02000000000066,306,8,1,11,220,22,-121.44000000000001
1778653036,49,12767,0.02,7407,187.37000000000054,203,6,1,11,226,23,-116.24
1778653066,50,13078,0.02,7542,-1187.7400000000011,311,5,0,11,231,23,4.494
1778653097,51,13392,0.02,7663,228.1799999999991,314,8,1,11,239,24,-116.32000000000001
1778653115,52,13577,0.02,7730,-1254.739999999999,185,4,1,11,243,25,-122.48
1778653157,53,13998,0.02,7857,80.00999999999983,421,9,1,11,252,26,-122.08000000000001
1778653173,54,14160,0.02,7922,-119.78999999999999,162,4,0,11,256,26,-1.3404115087380424
1778653187,55,14297,0.02,7999,62.40999999999997,137,4,1,11,260,27,-116.39999999999999
1778653212,56,14557,0.02,8089,-849.3299999999999,260,7,0,11,267,27,-1.864873
1778653227,57,14711,0.02,8172,468.3199999999998,154,5,1,11,272,28,-115.84
1778653243,58,14874,0.02,8216,-424.5399999999996,163,4,0,11,276,28,-1.086
1778653262,59,15068,0.02,8277,-896.5100000000007,194,2,0,11,278,28,2.0440370000000003
1778653286,60,15312,0.02,8354,869.0799999999992,244,10,1,11,288,29,-120.56
1778653304,61,15492,0.02,8460,-409.5100000000002,180,5,1,11,293,30,-116.8
1778653320,62,15660,0.02,8504,-766.3299999999992,168,3,1,11,296,31,-116.96
1778653331,63,15766,0.02,8568,477.64000000000016,106,6,0,11,302,31,79.934
1778653342,64,15885,0.02,8609,-769.1899999999996,119,1,0,11,303,31,1.974
1778653372,65,16194,0.02,8727,-1341.8600000000024,309,5,1,11,308,32,-122.4
1778653402,66,16502,0.02,8835,-1575.3400000000017,308,4,0,11,312,32,-146.76333477388314
1778653411,67,16594,0.02,8870,193.86000000000007,92,3,1,11,315,33,-122.08
1778653430,68,16793,0.02,8924,-1766.9899999999996,199,3,0,11,318,33,7.791607761758575
1778653461,69,17103,0.02,9029,-2084.2500000000045,310,7,1,11,325,34,-116.64
1778653487,70,17370,0.02,9154,-94.43999999999996,267,6,0,11,331,34,-0.32600000000000007
1778653492,71,17422,0.02,9187,248.7,52,2,0,11,333,34,-7.266
1778653511,72,17616,0.02,9235,-982.4199999999992,194,5,0,11,338,34,2.294
1778653527,73,17773,0.02,9265,824.9799999999993,157,7,0,11,345,34,-2.946
1778653549,74,18005,0.02,9315,-1543.4300000000017,232,4,0,11,349,34,5.12392795
1778653563,75,18141,0.02,9354,-586.8199999999998,136,3,0,11,352,34,63.95012967858954
1778653579,76,18308,0.02,9398,-630.6599999999996,167,5,0,11,357,34,-2.606
1778653600,77,18525,0.02,9453,-2064.770000000003,217,5,0,11,362,34,9.165971610846032
1778653616,78,18684,0.02,9497,-1044.789999999999,159,3,0,11,365,34,-2.666
1778653641,79,18940,0.02,9573,-1774.2199999999962,256,3,1,11,368,35,-122.56
1778653648,80,19014,0.02,9599,497.15999999999946,74,5,0,11,373,35,5.453999999999999
1778653663,81,19173,0.02,9623,-422.73,159,7,0,11,380,35,6.002391655106976
1778653700,82,19537,0.02,9751,449.1199999999996,364,12,0,12,392,35,6.128566214974291
1778653719,83,19726,0.02,9801,949.3599999999988,189,8,0,12,400,35,5.912336999999999
1778653727,84,19814,0.02,9827,-610.1700000000001,88,1,0,12,401,35,29.074000000000005
1778653739,85,19936,0.02,9838,-847.5300000000002,122,3,0,12,404,35,4.387550066660296
1778653761,86,20163,0.02,9892,-1111.1200000000008,227,3,1,12,407,36,-122.56
1778653768,87,20232,0.02,9922,49.99999999999996,69,4,1,12,411,37,-122.0
1778653805,88,20608,0.02,10024,-2095.359999999999,376,7,0,12,418,37,0.681927
1778653827,89,20841,0.02,10102,-962.8200000000004,233,8,1,12,426,38,-122.16000000000001
1778653841,90,20973,0.02,10166,-392.23000000000013,132,4,1,12,430,39,-4.386
1778653858,91,21489,0.02,10338,-321.78999999999877,516,10,1,12,440,40,-122.0
1778653859,92,21588,0.02,10379,-614.48,99,1,1,12,441,41,-122.72000000000001
1778653860,93,21656,0.02,10401,-469.0300000000002,68,2,0,12,443,41,25.70668311255675
1778653862,94,21814,0.02,10444,-534.4199999999998,158,6,1,12,449,42,-122.32000000000001
1778653882,95,22022,0.02,10479,-1490.5199999999995,208,5,0,12,454,42,2.1595743698584764
1778653906,96,22273,0.02,10529,-1561.4300000000005,251,7,1,12,461,43,-122.24000000000001
1778653951,97,22724,0.02,10615,1373.2299999999943,451,16,0,16,477,43,1.6619210061832668
1778653967,98,22889,0.02,10652,-1669.4199999999996,165,2,0,16,479,43,-145.05084853966707
1778653979,99,23015,0.02,10685,-365.16,126,4,0,16,483,43,4.414
1778653990,100,23129,0.02,10709,-818.7400000000008,114,2,0,16,485,43,6.241189784458125
1778654017,101,23399,0.02,10804,-1884.8999999999992,270,5,1,16,490,44,-122.4
1778654028,102,23509,0.02,10842,-716.7400000000004,110,1,0,16,491,44,5.185485745575335
1778654041,103,23644,0.02,10872,-616.1699999999997,135,5,1,16,496,45,-116.8
1778654061,104,23836,0.02,10925,-1971.9000000000028,192,0,0,16,496,45,4.056370379418863
1778654090,105,24134,0.02,10996,-715.139999999999,298,12,1,16,508,46,-121.84
1778654104,106,24278,0.02,11026,-1266.0900000000001,144,4,1,16,512,47,-122.48
1778654117,107,24415,0.02,11056,-1303.2399999999993,137,2,0,16,514,47,4.207845573918455
1778654138,108,24628,0.02,11111,-546.299999999999,213,7,0,16,521,47,-4.243
1778654172,109,24970,0.02,11211,-1399.7600000000004,342,7,0,16,528,47,5.063716383812865
1778654181,110,25056,0.02,11227,-770.3400000000001,86,1,0,16,529,47,4.594583029848375
1778654193,111,25179,0.02,11259,572.4899999999993,123,7,1,16,536,48,-121.04
